Type;Weak to (2x);Resist (1/2x);Immune to
Normal;Fighting;None;Ghost
Fire;Water, Ground, Rock;Fire, Grass, Ice, Bug, Steel, Fairy;None
Water;Electric, Grass;Fire, Water, Ice, Steel;None
Electric;Ground;Electric, Flying, Steel;None
Grass;Fire, Ice, Poison, Flying, Bug;Water, Electric, Grass, Ground;None
Ice;Fire, Fighting, Rock, Steel;Ice;None
Fighting;Flying, Psychic, Fairy;Bug, Rock, Dark;None
Poison;Ground, Psychic;Grass, Fighting, Poison, Bug, Fairy;None
Ground;Water, Grass, Ice;Poison, Rock;Electric
Flying;Electric, Ice, Rock;Grass, Fighting, Bug;Ground
Psychic;Bug, Ghost, Dark;Fighting, Psychic;None
Bug;Fire, Flying, Rock;Grass, Fighting, Ground;None
Rock;Water, Grass, Fighting, Ground, Steel;Normal, Fire, Poison, Flying;None
Ghost;Ghost, Dark;Poison, Bug;Normal, Fighting
Dragon;Ice, Dragon, Fairy;Fire, Water, Electric, Grass;None
Dark;Fighting, Bug, Fairy;Ghost, Dark;Psychic
Steel;Fire, Fighting, Ground;Normal, Grass, Ice, Flying, Psychic, Bug, Rock, Dragon, Steel, Fairy;Poison
Fairy;Poison, Steel;Fighting, Bug, Dark;Dragon
